no,judul_inovasi,pemda,admin_opd,inisiator,nama_inisiator,bentuk_inovasi,jenis,asta_cipta,urusan_utama,urusan_lain_yang_beririsan,kematangan,tahapan_inovasi,tanggal_input,tanggal_penerapan,tanggal_pengembangan,video,link_video,label_kematangan,lat,lon
544,FKS: INOVASI TERINTEGRASI UNTUK REVITALISASI SENI DAN PENGEMBANGAN KARAKTER MURID BERJIWA PANCASILA,Provinsi Jawa Timur,SMKN 2 Ngawi (iga2025.smkn2ngawi@gmail.com),OPD,SMK NEGERI 2 NGAWI,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,"Sosial,Lingkungan Hidup,Koperasi, Usaha Kecil, Dan Menengah,Kepemudaan Dan Olah Raga,Kebudayaan",107.0,Penerapan,2025-07-23,2024-12-18,,Ada,https://drive.google.com/drive/folders/1NkYuy5g5tvsPbLdE9r0BcCR-Bol2Ndte?usp=sharing,Sangat Inovatif,-7.4322,111.4651
545,Inovasi Teknologi pendidikan Sistem Manajemen Pembelajaran Berbasis Digital Program Konsentrasi Keahlian Teknik komputer Jaringan dan Telekomunikasi,Provinsi Jawa Timur,SMKN 1 Brondong (iga2024.smkn.1.brondong),Kepala Daerah,Edy Zuliyanto,Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,100.0,Penerapan,2025-07-23,2024-10-07,2024-12-16,Ada,https://youtu.be/0uUknGRHmcE,Sangat Inovatif,,
546,SMK Business Hub,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,YAUMUL SYA’BAN WAHYU PERDANA S.Pd,Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Sosial,Pemberdayaan Masyarakat Dan Desa,102.0,Penerapan,2025-07-24,2024-05-02,2024-12-03,Ada,https://res5.tuxedovation.com/d0a9a77b1d8c37aac73175cc5a9f297dd4aab8f6.mp4,Sangat Inovatif,-7.780941121247711,113.21219703798779
547,PROGRAM MAGANG CASUAL TERSTRUKTUR (PROMCAT) SMK NEGERI 1 BATU,Provinsi Jawa Timur,SMKN 1 Batu (iga2025.smkn1batu),ASN,"ARIK HARIANTO, S.Pd, M.Si",Inovasi Pelayanan Publik,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,Tenaga Kerja,15.0,Penerapan,2025-07-24,2024-08-26,2024-09-02,Tidak Ada,-,Kurang Inovatif,-7.8679,112.5272
548,MEKAR SIBARAN (Membentuk Karakter Anak Berkebutuhan Khusus melalui Keterampilan Batik Sibaran),Provinsi Jawa Timur,"SLB NEGERI BANJARSARI WETAN, KAB. MADIUN (jatimprov.dispendik.slbnegeribanjarsariwetan)",ASN,"Handik Indarwati, M.Pd.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Koperasi, Usaha Kecil, Dan Menengah",111.0,Penerapan,2025-07-24,2022-07-08,2024-10-01,Ada,https://youtu.be/sFPyH-oAymE,Sangat Inovatif,-7.6979,111.5573
549,INOVASI PERALATAN PRAKTIS DAN MURAH MEDIA BENIH (PRAMUDINI) SEBAGAI SOLUSI PENYEDIAAN BIBIT TANAMAN PEKARANGAN DAN PERKEBUNAN SECARA MANDIRI,Provinsi Jawa Timur,"SMK NEGERI 1 KARE, KAB MADIUN (jatimprov.dispendik.smkn1kare)",ASN,CLARA AKHUSTYA,Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.","Koperasi, Usaha Kecil, Dan Menengah",Pertanian,107.0,Penerapan,2025-07-24,2024-02-25,,Ada,https://drive.google.com/file/d/1fXUhGjXA6SDK-r5lTqz6jqZJe4NFeAJC/view?usp=sharing,Sangat Inovatif,7.6727,111.7034
550,TEKNOLOGI ‘SMART KAKAO FERMENTOR’ UNTUK MENINGKATKAN NILAI EKONOMI KAKAO PASCA  PANEN SEBAGAI LAHAN KEWIRAUSAHAAN,Provinsi Jawa Timur,"SMK NEGERI 1 KARE, KAB MADIUN (jatimprov.dispendik.smkn1kare)",ASN,Eko Setiawan,Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pertanian,Penelitian Dan Pengembangan,109.0,Penerapan,2025-07-24,2023-02-21,,Ada,https://res5.tuxedovation.com/2b62b4b300b4eed6b6bef094ab4c95c5a071433b.mp4,Sangat Inovatif,-7.6727,111.7034
551,TAKSI ( TEKNOLOGI KONVERSI SAMPAH ORGANIK TERINTEGRASI’ SEBAGAI SOLUSI KRISIS ENERGI DAN EKONOMI ),Provinsi Jawa Timur,"SMK NEGERI 1 KARE, KAB MADIUN (jatimprov.dispendik.smkn1kare)",ASN,"TARNIS AGUNG WIBOWO, S.Kom, Gr.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kesehatan,Ketenteraman, Ketertiban Umum, Dan Pelindungan Masyarakat,Lingkungan Hidup,Pertanian,Energi Dan Sumber Daya Mineral",109.0,Penerapan,2025-07-24,2024-04-25,,Ada,https://res5.tuxedovation.com/fc9bec34833165990d7b19232c61f76b8db01e3d.mp4,Sangat Inovatif,-7.6727,111.7034
552,TRANSFIGURASI SAMPAH PLASTIK MENJADI ECOBRICK MELALUI TEKNOLOGI KOMPRESI OLEH SMKN KARE KAB. MADIUN,Provinsi Jawa Timur,"SMK NEGERI 1 KARE, KAB MADIUN (jatimprov.dispendik.smkn1kare)",Masyarakat,"DANI WULANDARI,S.Pd.",Inovasi Pelayanan Publik,Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Lingkungan Hidup,Pendidikan Dan Pelatihan,109.0,Penerapan,2025-07-24,2023-02-28,2023-03-06,Ada,https://res5.tuxedovation.com/9092e60caf5000b37331e33b6bf9aaf73ba47e05.mp4,Sangat Inovatif,-7.6727,111.7034
553,Rangkap Pembiasaan Kemandirian Menggosok Gigi Sehat Anak Istimewa,Provinsi Jawa Timur,SLB Putra Mandiri Kab. Mojokerto (iga2024.slb.putra.mandiri.mojokerto),OPD,Anis Ratnaduhita Fatih,Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Kesehatan,16.0,Penerapan,2025-07-24,2025-01-06,2025-01-06,Tidak Ada,-,Kurang Inovatif,-7.569999,112.5727888
554,INOVASI KENDI (KEMIS NGENDIKA),Provinsi Jawa Timur,SMKN 6 Surabaya (iga2025.smkn6surabaya),ASN,SMK Negeri 6 Surabaya,Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kebudayaan,Pendidikan Dan Pelatihan",83.0,Penerapan,2025-07-24,2024-08-01,2024-09-01,Ada,https://res5.tuxedovation.com/3e1720fd8b8bddde6abfcb171d870c90c9086115.mp4,Sangat Inovatif,-7.316373687516002,112.74142293873558
555,JURNAL ONLINE PRAKTIK KERJA LAPANGAN (PKL) DENGAN MEMANFAATKAN PLATFORM GRATIS GOOGLE,Provinsi Jawa Timur,SMKN 2 SUKOREJO Kab. Pasuruan (iga2025.smkn2.sukorejo.kab.pasuruan),ASN,AGUS RIYANTO,Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Pendidikan Dan Pelatihan,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan",106.0,Penerapan,2025-07-24,2024-01-02,,Ada,https://res5.tuxedovation.com/9c2ab43fc9ae326041c6dd3e5ab31f0c506dfea5.mp4,Sangat Inovatif,-7.704226580496263,112.7274737371301
556,PRODUK OROK-OROK MENUJU MASYARAKAT INKLUSIF DI ERA DIGITAL,Provinsi Jawa Timur,SLBN 1 KOTA BLITAR (iga2024.slbn.1.blitar),ASN,"Ana Aliyatul Himmah, S. Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,96.0,Penerapan,2025-07-24,2023-06-05,2023-10-10,Ada,https://youtu.be/5suYm5bHL1c,Sangat Inovatif,-8.082926958568773,112.16553498444713
557,INOVASI FRESH (Friday English Speaking Habit),Provinsi Jawa Timur,SMKN 6 Surabaya (iga2025.smkn6surabaya),ASN,SMK Negeri 6 Surabaya,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kebudayaan,Pendidikan Dan Pelatihan",83.0,Penerapan,2025-07-24,2024-08-01,2024-09-01,Ada,"https://youtu.be/ezUrdUWEaDc, https://res5.tuxedovation.com/7363ff93cf70a4e6e9b150389fa9000af4cb19ef.mp4",Sangat Inovatif,-7.316373687516002,112.74142293873558
558,SEKOLAH SAK NGAJINE (SSN),Provinsi Jawa Timur,SLBN 2 KOTA BLITAR (iga2024.slbn.2.blitar),ASN,"KHOIRUN NISAK, S.Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,104.0,Penerapan,2025-07-24,2024-07-10,2024-06-01,Ada,https://res5.tuxedovation.com/d6fdcee608014959e4e630262c5d21f05fad3fdc.mp4,Sangat Inovatif,-8.1013883,112.1519297
559,"TRANSFORMASI LEADERSHIP BERBASIS DIGITAL MELALUI E-DUKASI UNTUK MEWUJUDKAN BUDAYA ORI (INOVASI, INDUSTRI DAN PRESTASI) DI SMKN KARE.",Provinsi Jawa Timur,"SMK NEGERI 1 KARE, KAB MADIUN (jatimprov.dispendik.smkn1kare)",ASN,"SEPTA KRISDIYANTO, M.Pd",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,109.0,Penerapan,2025-07-24,2024-02-25,,Ada,https://youtu.be/mrupPFLK53s,Sangat Inovatif,-7.6727,111.7034
561,GREATES STUDENT APPLICATION (General Report All Data Based Student Application),Provinsi Jawa Timur,"SMAN 1 BADEGAN, KAB. PONOROGO  (jatimprov.dispendik.sman1badegan)",ASN,"TOHA MAHSUN, S.Pd, M.Pd.I",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Penelitian Dan Pengembangan,106.0,Penerapan,2025-07-24,2024-02-26,,Ada,https://res5.tuxedovation.com/708a90d6c83b5127b37bdd3b7c9f6e22b50b7f36.jpeg,Sangat Inovatif,-7.872578510121211,111.38437643713289
562,“E-PKL (Elektronik Praktik Kerja Lapangan)” SMKN 12 Surabaya,Provinsi Jawa Timur,Smkn 12 surabaya (iga2025.smkn12surabaya),ASN,Cone Kustarto Arifin,Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,82.0,Penerapan,2025-07-24,2024-10-07,,Ada,https://res5.tuxedovation.com/215c28ace43ab34a944d30775af9041a1eacdf10.mp4,Sangat Inovatif,,
563,BATMAN SLEKOORS (BATIK MANDIRI SMAN 21 SURABAYA),Provinsi Jawa Timur,SMAN 21 SURABAYA (iga2025.sman21surabaya),ASN,"VIVIT PUTRI PUSPITOSARI, M.Pd.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,96.0,Penerapan,2025-07-24,2023-02-27,2023-02-27,Ada,"https://youtu.be/UAtnU4NQoK0?si=7TFXXy0cK60qSfDw, https://drive.google.com/file/d/1B5o2PHtZDBEILggE28eUYdS2Df8mN-cn/view?usp=drive_link",Sangat Inovatif,-7.260060165748159,112.72971000415662
564,POJOK SAHDU SEBAGAI SARANA MENGEMBANGKAN JIWA KEWIRAUSAHAAN PESERTA DIDIK,Provinsi Jawa Timur,SMKN  2 PACITAN (jatimprov.dispendik.smkn2pacitan),ASN,"Drs. SUBAGYO, M.M.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Lingkungan Hidup,54.0,Penerapan,2025-07-24,2024-11-11,2025-02-10,Ada,https://www.youtube.com/watch?v=YhaTO9063rY,Inovatif,-8.200673747550042,111.08689296614507
565,INOVASI PEMERATAAN AKSESIBILITAS PENDIDIKAN MELALUI SEKOLAH SATELIT DI PULAU GILI KETAPANG DAN LERENG GUNUNG WONOASRI WILAYAH KURIPAN,Provinsi Jawa Timur,CABANG DINAS PROBOLINGGO (iga2025.cabdinprobolinggo),ASN,"Iwan Triyono, S.H.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Sosial,15.0,Penerapan,2025-07-24,2024-05-01,2024-09-20,Tidak Ada,-,Kurang Inovatif,-7.80033198279708,113.2078349646827
566,2 AQUA KERASA : Aquaponik dan Aquakultur untuk Kewirausahaan Siswa,Provinsi Jawa Timur,SMAN 1 BANGKALAN (iga2024.sma.1.bangkalan),ASN,"Drs. Jumali, M.M.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pangan,98.0,Penerapan,2025-07-24,2024-10-30,2024-12-17,Ada,https://youtu.be/ayQBqlOiuoM,Sangat Inovatif,-7.030386874394258,112.75823744542552
567,”SAGITA” (Sapa Pagi Bersama Kita),Provinsi Jawa Timur,SMA NEGERI 1 DONGKO TRENGGALEK (iga2024.sman1.dongko.trenggalek),Masyarakat,"Dini Puji Rahayu, S.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,110.0,Penerapan,2025-07-24,2024-03-04,2024-04-01,Ada,https://res5.tuxedovation.com/30949d0deb945f6b34b65fbc15074aeaf094a4ea.mp4,Sangat Inovatif,-8.181315616833272,111.57875939416051
568,“SELEBRASI” (SLBN PANGGUNGSARI BERKARYA DAN BERKREASI) : PENGEMBANGAN KURIKULUM VOKASI MELALUI PRODUK MAKANAN SEHAT BERBAHAN DASAR JAMUR TIRAM DI SLB NEGERI PANGGUNGSARI TRENGGALEK,Provinsi Jawa Timur,SLB NEGERI PANGGUNGSARI TRENGGALEK (iga2024.slbn.panggungsari.trenggalek),ASN,IRENE WEMIE GINATRA,Inovasi Pelayanan Publik,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,Pangan,111.0,Penerapan,2025-07-24,2024-11-01,2024-11-29,Ada,https://res5.tuxedovation.com/d6699dd395857724f499ef27c8408cc80b7a92b3.mp4,Sangat Inovatif,-8.11855,111.81381
569,LEMET PRO ( Leadership and Management),Provinsi Jawa Timur,SMKN 3 TUBAN (jatimprov.dispendik.smkn3tuban),ASN,"Jahidul Umam, S.Si., Gr",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,42.0,Penerapan,2025-07-24,2024-10-02,2024-12-20,Tidak Ada,-,Kurang Inovatif,-6.860342209783926,111.92851789898988
570,TALI ASIH (DIGITALISASI ADMINISTRASI SEKOLAH),Provinsi Jawa Timur,SLB Negeri Manisrejo Kota Madiun (iga2024.slb.manisrejo.madiun),ASN,"NOENIN BAWARTI SUBANDI, S.Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,101.0,Penerapan,2025-07-25,2024-01-02,2024-02-01,Ada,https://youtu.be/alvIE3zsKQM?si=Ovrt038A-6oh0l5V,Sangat Inovatif,-7.642168169021132,111.54327044862632
571,EFL (Edu Forest Lab) : Laboratorium Terpadu Berbasis Alam Gudang Oksigen untuk Pembelajaran di SMK Negeri 1 Pujon,Provinsi Jawa Timur,SMKN 1 PUJON Kab. Malang (iga2025.smkn1.pujon.kab.malang),ASN,Sri Nurul Syamsiyah S.Pd,Inovasi Pelayanan Publik,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,Tidak Ada,28.0,Penerapan,2025-07-25,2023-01-16,2025-06-02,Ada,https://drive.google.com/file/d/1_RQSW3MEzg8wcbHwsgfzBZoOukUgCFye/view?usp=drivesdk,Kurang Inovatif,,
572,GALAKSI (Gazebo Literasi Akses Digital),Provinsi Jawa Timur,SMAN 2 Mejayan Kab. Madiun (iga2025.sman2.mejayan.kabupaten.madiun),ASN,Indah Lutfiatin,Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,105.0,Penerapan,2025-07-25,2023-04-15,,Ada,https://res5.tuxedovation.com/3324df5de9e2fb584c4af68746b8d46f8e225f7f.mp4,Sangat Inovatif,-7.548385,111.66869
573,Pengembangan Aplikasi  “Si Patin” Sebagai Media Pembelajaran pada Elemen  Pembesaran Komoditas Perikanan Air Tawar  Kelas XI SMK,Provinsi Jawa Timur,SMKN 1 KADEMANGAN (iga2024.smkn.1.kademangan),ASN,"IDA AGUS SETYANI, S.Pi",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,111.0,Penerapan,2025-07-25,2023-08-01,,Ada,https://res5.tuxedovation.com/70e3a6e5591654eb396441834912d2332048da99.mp4,Sangat Inovatif,-8.1425604,112.1370037
574,"“SI TANAM”  (SMART INTEGRATED SPRAYER TENAGA MATAHARI) SEBAGAI INOVASI ALAT MESIN PERTANIAN YANG MODERN, ERGONOMIS SERTA PRESISI UNTUK MENDUKUNG PERTANIAN BERKELANJUTAN SERTA MEWUJUDKAN KETAHANAN PANGAN",Provinsi Jawa Timur,SMKN 1 KADEMANGAN (iga2024.smkn.1.kademangan),ASN,"Yustinanda Rahma Dewi, S.P, M.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Pangan,Lingkungan Hidup",108.0,Penerapan,2025-07-25,2024-10-10,2024-07-15,Ada,https://youtu.be/aAQbcJIiru4,Sangat Inovatif,-8.1425604,112.1370037
575,MODEL TRANSFORMASI KEPEMIMPINAN PEMBELAJARAN BERBASIS SMART SCHOOL MELALUI GANTENG (DIGITAL ONE SERVICE INTEGRATION),Provinsi Jawa Timur,"SMK NEGERI 1 KARE, KAB MADIUN (jatimprov.dispendik.smkn1kare)",ASN,"SEPTA KRISDIYANTO, M.Pd",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,94.0,Penerapan,2025-07-25,2023-09-27,,Ada,https://drive.google.com/file/d/1us6OGHkishqn13kJK72YOps-ZsfGafX7/view?usp=sharing,Sangat Inovatif,-7.6727,111.7034
576,GEMPITA (GERAKAN RAMBUT RAPI TERTATA),Provinsi Jawa Timur,SMAN 1 ROGOJAMPI BANYUWANGI (iga2024.sman1.rogojampi.banyuwangi),ASN,"Elis Santi, M.Pd.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Ketenteraman, Ketertiban Umum, Dan Pelindungan Masyarakat",83.0,Penerapan,2025-07-25,2024-01-24,,Ada,https://res5.tuxedovation.com/d95d0e42c70f3018d82643c11fc8b6ac71d6307b.mp4,Sangat Inovatif,-8.303496448114977,114.29073519456868
577,JAM DINDING DARI TUTUP BOTOL,Provinsi Jawa Timur,SMK NEGERI KARTOHARJO (iga2024.smk.n.kartoharjo),Masyarakat,DEWI ABDI,Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Lingkungan Hidup,0.0,Uji Coba,2025-07-25,2024-05-31,,Tidak Ada,-,Kurang Inovatif,-7.5343818,109.1732025
579,BATIK CATUR LOKA SMANDU MENDUNIA MELALUI RUMAH KEWIRAUSAHAAN DIGITAL UNTUK MENINGKATKAN KEBERMANFAATAN KOKURIKULER MENUJU SEKOLAH BERDIKARI,Provinsi Jawa Timur,SMAN 1 Dukun Kab. Gresik (iga2025.sman1.dukun.gresik),ASN,"SITI KHOFIFAH, M.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,Kebudayaan,29.0,Penerapan,2025-07-25,2023-07-17,2025-07-14,Tidak Ada,-,Kurang Inovatif,,
580,“TTM MOVE ON” Tetap Tenang Menekankan Keberhasilan Sekolah Adalah Keberhasilan Pribadi Melupakan Perlakuan Tidak Baik Orang Setelah Mereka Menyadari Kesalahan.,Provinsi Jawa Timur,SMKN TULAKAN (iga2024.smkn.tulakan),ASN,"EVI DHIAN ASMORO, S.Pd., M.Pd.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Tidak Ada,105.0,Penerapan,2025-07-25,2024-04-25,2024-05-02,Ada,https://drive.google.com/drive/folders/1owBnDxqq48mdgl1xAhoMQTm5x1xTgBk4,Sangat Inovatif,-8.1084888,111.3346591
582,MENENUN ASA DIATAS ANYAMAN,Provinsi Jawa Timur,SLB Negeri Manisrejo Kota Madiun (iga2024.slb.manisrejo.madiun),ASN,"DEBBIE MAHARDANI, S.Pd",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,109.0,Penerapan,2025-07-25,2023-09-11,2023-08-28,Ada,https://youtu.be/AOIvJ89vzt8?si=w8BZ7PvVzcHhAfHy,Sangat Inovatif,-7.64215348262505,111.54326552089286
583,SIGAP PERPU (SISWA TANGGAP PELAPORAN PERUNDUNGAN),Provinsi Jawa Timur,SMAN 1 GENTENG (iga2024.sman.1.genteng),ASN,"Wijayanti, S.Pd.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,15.0,Penerapan,2025-07-25,2025-09-15,,Tidak Ada,-,Kurang Inovatif,-8.353188,114.145943
